apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
spinach.labor.salary.greencard,13,6,74,1,0,7,0,0,0,87,0,4,0,0,0
com.digipea.mobile,13,7,51,8,2,1,1,0,0,44,0,2,0,0,0
com.bunkerpalace.jazzmachine,13,8,75,2,1,8,1,1,0,94,1,11,1,0,0
com.blinzy.games.luckyfred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be.trendsco.mijntuinwebapp,13,2,74,1,29,7,0,0,0,10,0,6,0,0,0
com.wemotic.underthechristmastreesoundcards,0,25,41,50,2,5,8,0,0,2,2,5,0,0,0
com.nazarene.bobbleheads,0,25,41,50,2,5,8,0,0,56,2,5,0,0,0
com.baliprojects.keutamaantarawih,13,6,74,1,0,7,1,0,0,87,0,1,0,0,0
com.eurofinsoptimed.recrut,13,9,39,1,3,8,1,1,0,3,1,2,1,0,0
com.titechzen.titechzen,13,8,75,1,2,8,1,1,0,94,1,11,1,0,0
edu.aces.smartyards,13,7,74,8,0,8,0,0,0,5,0,10,0,0,0
ch.schwingenonline.android,12,8,48,19,2,7,1,1,0,84,1,6,1,0,0
com.phonegap.foroneday,13,6,74,57,0,7,0,0,0,98,0,10,0,0,0
com.cooperbussmann.fusefinder,13,6,74,2,0,8,1,0,0,98,0,10,0,0,0
net.klier.bmi2free,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
com.gwtmobile.phonegap,13,28,71,11,20,1,3,0,0,18,3,1,0,0,0
com.kyosuke25.edgejumper,13,9,75,63,11,8,1,1,0,94,1,11,1,0,0
com.ohmztech.hungrypet1,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
com.dirtylittlecyborg.words.free,13,6,74,8,0,7,0,0,0,26,0,4,0,0,0
com.megatomi.vivienneballaphotography,13,6,74,1,0,7,0,0,0,87,0,4,0,0,0
picshares.PicShares.com,13,9,68,9,3,2,1,1,0,1,1,3,1,0,0
com.doersguild.generalknowledge,13,6,74,57,0,7,0,0,0,98,0,10,1,0,0
de.flyacts.mobilecampdresden,13,6,74,57,2,8,0,0,0,98,0,10,2,0,0
com.kmaru.kmaruApp,13,15,68,1,6,8,1,2,0,2,1,3,1,0,0
com.modalitaprovvisoria.nikitaradiostreamer2,13,8,75,8,2,8,1,0,0,96,0,2,1,0,0
com.uforlife.pixwithme,13,8,75,8,2,8,1,1,0,94,1,6,1,0,0
com.needforwords,13,9,75,8,2,8,1,1,0,5,1,3,1,0,0
com.phonegap.jpksongs,13,33,41,2,2,5,8,0,0,2,2,2,0,0,0
be.trendsco.mygardenapp,13,2,74,1,29,7,0,0,0,1,0,6,0,0,0
com.root.Connex,13,8,77,57,2,7,4,0,0,98,0,10,0,0,0
org.usik.www,13,33,41,13,2,5,8,0,0,2,2,5,0,0,0
com.tftp.app,13,12,70,11,2,8,2,1,0,5,1,11,1,0,0
com.atmosphiral.qlinqs,13,2,74,1,1,1,0,0,0,95,0,1,0,0,0
nl.filmnu.nl,13,7,74,57,1,8,0,0,0,96,0,10,0,0,0
com.geocheckpointing.m,13,7,68,1,2,7,2,0,0,87,0,1,0,0,0
com.knownomy.geographysavvy,13,6,74,1,0,7,0,0,0,2,0,10,0,0,0
